0,1,2,3,4,5,6
419,882,133,1055,277,HEPG2-08,1138
52,407,655,859,419,HEPG2-08,855
1055,748,857,519,336,HEPG2-08,710
534,425,181,240,232,HEPG2-08,836
112,581,462,22,724,HEPG2-08,249
1055,294,275,882,830,HEPG2-08,878
423,662,241,633,421,HEPG2-08,37
882,419,307,432,734,HEPG2-08,430
240,287,962,540,232,HEPG2-08,638
407,36,799,476,794,HEPG2-08,154
830,519,1055,294,213,HEPG2-08,994
1055,419,882,519,22,HEPG2-08,420
1055,519,907,290,521,HEPG2-08,17
748,633,519,462,486,HEPG2-08,294
1055,902,22,794,336,HEPG2-08,737
604,1021,870,1039,803,HEPG2-08,231
803,693,108,485,893,HEPG2-08,97
799,903,22,423,722,HEPG2-08,725
419,126,133,277,48,HEPG2-08,104
69,276,483,423,849,HEPG2-08,332
356,133,419,519,1055,HEPG2-08,702
1055,523,830,290,307,HEPG2-08,560
139,922,850,267,275,HEPG2-08,205
729,722,662,351,112,HEPG2-08,1137
598,845,633,874,519,HEPG2-08,619
1055,830,474,907,307,HEPG2-08,587
830,1055,48,965,126,HEPG2-08,976
483,111,421,447,1022,HEPG2-08,1120
419,882,133,716,575,HEPG2-08,15
275,874,965,922,321,HEPG2-08,273
483,204,1012,421,633,HEPG2-08,204
1012,874,662,693,1083,HEPG2-08,1108
423,957,874,748,264,HEPG2-08,344
693,874,880,269,41,HEPG2-08,824
572,750,1020,290,446,HEPG2-08,958
126,1026,1047,1003,534,HEPG2-08,1113
726,882,396,419,1048,HEPG2-08,628
419,1055,882,48,126,HEPG2-08,370
1055,275,492,476,965,HEPG2-08,911
621,874,957,423,867,HEPG2-08,1124
693,294,213,519,830,HEPG2-08,213
799,22,598,748,112,HEPG2-08,241
133,882,356,307,575,HEPG2-08,1133
407,856,734,799,36,HEPG2-08,58
799,1055,22,748,857,HEPG2-08,575
289,534,407,980,384,HEPG2-08,331
483,1012,447,421,111,HEPG2-08,230
693,874,61,922,321,HEPG2-08,270
61,294,979,662,835,HEPG2-08,261
803,621,486,1014,1039,HEPG2-08,140
972,335,205,1047,425,HEPG2-08,698
922,662,205,139,436,HEPG2-08,1009
708,870,604,1039,735,HEPG2-08,635
799,22,748,1024,1055,HEPG2-08,275
1055,423,748,294,519,HEPG2-08,297
112,1012,69,633,462,HEPG2-08,892
667,729,568,592,205,HEPG2-08,79
277,523,726,692,126,HEPG2-08,630
598,139,633,799,483,HEPG2-08,193
843,226,830,1055,432,HEPG2-08,418
546,435,476,667,267,HEPG2-08,528
421,483,423,139,1012,HEPG2-08,493
321,693,519,69,697,HEPG2-08,872
4,468,85,534,488,HEPG2-08,468
122,90,815,755,1082,HEPG2-08,1082
1055,748,423,65,438,HEPG2-08,602
598,139,874,321,662,HEPG2-08,1036
108,287,893,803,1031,HEPG2-08,286
1055,799,882,748,22,HEPG2-08,592
419,396,407,856,882,HEPG2-08,202
485,906,140,874,108,HEPG2-08,998
321,425,398,218,918,HEPG2-08,771
667,275,568,476,1055,HEPG2-08,912
662,483,224,972,1079,HEPG2-08,928
294,181,9,534,922,HEPG2-08,179
856,882,419,22,227,HEPG2-08,594
799,598,748,126,419,HEPG2-08,684
748,264,519,1055,882,HEPG2-08,954
799,22,407,1024,903,HEPG2-08,139
407,859,559,856,794,HEPG2-08,496
1012,874,925,515,421,HEPG2-08,817
483,224,803,428,346,HEPG2-08,803
799,22,748,724,598,HEPG2-08,1081
126,476,275,965,793,HEPG2-08,573
748,957,857,1055,519,HEPG2-08,209
903,708,129,803,462,HEPG2-08,374
133,356,307,886,575,HEPG2-08,54
359,870,622,271,882,HEPG2-08,758
321,519,1055,425,697,HEPG2-08,318
356,581,133,519,555,HEPG2-08,1109
1055,882,519,748,22,HEPG2-08,476
667,502,521,1055,871,HEPG2-08,288
534,794,425,9,1026,HEPG2-08,1072
856,432,407,794,870,HEPG2-08,1116
1012,483,874,515,1083,HEPG2-08,1001
874,321,519,693,264,HEPG2-08,509
126,859,870,149,559,HEPG2-08,223
1003,1047,972,1135,92,HEPG2-08,1135
20,849,889,1030,266,HEPG2-08,980
139,799,598,544,748,HEPG2-08,1038
424,1021,206,1067,506,HEPG2-08,780
1003,1047,534,1026,972,HEPG2-08,1128
483,346,1016,755,224,HEPG2-08,1094
206,769,287,506,694,HEPG2-08,0
1055,519,22,748,521,HEPG2-08,280
972,1047,1003,1021,510,HEPG2-08,1117
1055,519,423,584,748,HEPG2-08,199
843,830,528,523,226,HEPG2-08,843
623,642,614,361,463,HEPG2-08,1130
485,922,610,552,294,HEPG2-08,850
882,1055,133,419,307,HEPG2-08,1107
492,9,425,965,277,HEPG2-08,243
356,133,307,882,419,HEPG2-08,14
181,922,591,294,534,HEPG2-08,518
799,22,748,407,139,HEPG2-08,358
1048,126,1047,492,726,HEPG2-08,839
598,275,1007,882,419,HEPG2-08,1097
925,350,1022,122,1120,HEPG2-08,925
1055,519,882,710,22,HEPG2-08,107
419,882,435,126,474,HEPG2-08,612
667,568,423,241,714,HEPG2-08,31
882,419,856,799,1055,HEPG2-08,227
1055,521,294,590,423,HEPG2-08,200
485,425,1014,251,693,HEPG2-08,1050
799,423,22,748,1055,HEPG2-08,416
476,275,126,435,419,HEPG2-08,568
251,850,485,531,1021,HEPG2-08,251
692,356,555,519,1041,HEPG2-08,128
882,1055,307,419,126,HEPG2-08,143
803,425,1039,207,321,HEPG2-08,498
356,133,886,519,277,HEPG2-08,201
423,1055,264,714,748,HEPG2-08,73
882,133,716,419,575,HEPG2-08,882
534,553,69,321,483,HEPG2-08,1121
693,519,874,321,462,HEPG2-08,1075
61,181,922,931,441,HEPG2-08,931
276,303,423,844,590,HEPG2-08,427
468,407,126,534,870,HEPG2-08,1123
882,419,734,856,716,HEPG2-08,18
241,799,667,1038,748,HEPG2-08,862
407,126,419,856,882,HEPG2-08,30
48,575,882,419,126,HEPG2-08,1110
799,36,1065,436,598,HEPG2-08,137
126,432,965,419,843,HEPG2-08,106
476,799,227,474,1055,HEPG2-08,50
394,803,207,395,1039,HEPG2-08,1131
799,748,22,1055,598,HEPG2-08,997
1055,423,519,521,304,HEPG2-08,728
133,356,886,277,419,HEPG2-08,885
1055,275,830,521,476,HEPG2-08,1122
126,1026,1047,407,534,HEPG2-08,1026
523,734,748,857,1055,HEPG2-08,161
693,294,69,697,640,HEPG2-08,1134
419,126,1055,434,882,HEPG2-08,794
598,139,1083,972,534,HEPG2-08,841
598,799,139,748,651,HEPG2-08,1037
874,693,294,943,207,HEPG2-08,906
112,22,799,633,1024,HEPG2-08,596
662,61,139,1083,9,HEPG2-08,470
375,1055,336,22,734,HEPG2-08,832
830,1055,126,435,48,HEPG2-08,16
631,232,289,271,1047,HEPG2-08,675
275,1055,882,965,476,HEPG2-08,1045
264,519,748,423,882,HEPG2-08,176
108,1022,803,486,462,HEPG2-08,354
799,748,321,1055,419,HEPG2-08,451
546,407,432,435,476,HEPG2-08,1011
483,447,735,111,224,HEPG2-08,899
882,1055,419,799,264,HEPG2-08,1073
