0,1,2,3,4,5,6
882,447,714,1010,1007,HEPG2-08,1138
52,419,1047,407,1003,HEPG2-08,855
724,748,519,22,521,HEPG2-08,710
425,485,574,553,318,HEPG2-08,836
1,791,134,724,844,HEPG2-08,249
748,321,275,131,1055,HEPG2-08,878
421,447,333,748,1069,HEPG2-08,37
396,307,575,749,606,HEPG2-08,430
638,287,240,730,898,HEPG2-08,638
748,544,799,436,499,HEPG2-08,154
601,553,294,295,555,HEPG2-08,994
882,714,988,264,447,HEPG2-08,420
295,270,603,22,555,HEPG2-08,17
333,264,1010,519,748,HEPG2-08,294
22,748,544,1024,336,HEPG2-08,737
898,604,27,870,950,HEPG2-08,231
803,619,395,182,1022,HEPG2-08,97
421,748,447,799,423,HEPG2-08,725
882,1010,1007,264,447,HEPG2-08,104
633,957,844,237,515,HEPG2-08,332
419,575,882,1010,370,HEPG2-08,702
295,519,22,270,555,HEPG2-08,560
205,922,139,1047,911,HEPG2-08,205
867,1058,729,421,748,HEPG2-08,1137
333,1010,264,447,988,HEPG2-08,619
307,575,213,1055,954,HEPG2-08,587
294,572,1055,131,601,HEPG2-08,976
204,350,925,483,75,HEPG2-08,1120
447,882,1007,1072,1010,HEPG2-08,15
264,553,321,748,275,HEPG2-08,273
204,483,224,333,447,HEPG2-08,204
619,874,218,333,1012,HEPG2-08,1108
134,957,423,515,1114,HEPG2-08,344
269,186,880,41,874,HEPG2-08,824
177,922,555,572,749,HEPG2-08,958
1072,1048,1047,898,419,HEPG2-08,1113
419,126,396,726,44,HEPG2-08,628
882,419,1072,264,1010,HEPG2-08,370
1055,1107,419,213,275,HEPG2-08,911
957,423,134,269,201,HEPG2-08,1124
519,1080,41,967,323,HEPG2-08,213
823,748,799,162,22,HEPG2-08,241
882,575,419,1072,302,HEPG2-08,1133
799,956,241,113,748,HEPG2-08,58
620,22,748,724,823,HEPG2-08,575
289,821,375,794,2,HEPG2-08,331
633,447,111,421,1012,HEPG2-08,230
321,553,874,693,880,HEPG2-08,270
979,502,590,568,326,HEPG2-08,261
803,874,350,128,1014,HEPG2-08,140
1047,218,930,335,898,HEPG2-08,698
205,922,1047,164,662,HEPG2-08,1009
792,1030,870,346,903,HEPG2-08,635
22,748,799,519,557,HEPG2-08,275
519,264,748,423,1058,HEPG2-08,297
269,134,844,1,633,HEPG2-08,892
748,568,243,592,273,HEPG2-08,79
726,1010,575,1072,882,HEPG2-08,630
748,483,421,633,598,HEPG2-08,193
91,375,748,131,130,HEPG2-08,418
571,679,435,243,130,HEPG2-08,528
421,633,515,844,134,HEPG2-08,493
135,801,145,1,553,HEPG2-08,872
85,4,468,2,138,HEPG2-08,468
122,90,815,428,1082,HEPG2-08,1082
724,957,748,303,326,HEPG2-08,602
333,264,218,748,598,HEPG2-08,1036
803,354,893,1043,1075,HEPG2-08,286
748,1055,264,519,882,HEPG2-08,592
419,396,726,856,930,HEPG2-08,202
485,128,182,693,207,HEPG2-08,998
218,619,207,321,485,HEPG2-08,771
748,264,184,275,752,HEPG2-08,912
792,224,346,483,619,HEPG2-08,928
553,321,922,294,408,HEPG2-08,179
419,575,856,22,1010,HEPG2-08,594
748,799,264,333,519,HEPG2-08,684
988,264,333,423,519,HEPG2-08,954
799,748,22,557,1024,HEPG2-08,139
396,419,1047,1003,965,HEPG2-08,496
269,515,134,186,892,HEPG2-08,817
224,483,110,1014,792,HEPG2-08,803
748,799,957,22,447,HEPG2-08,1081
275,748,544,264,153,HEPG2-08,573
519,724,748,22,134,HEPG2-08,209
903,538,1,456,950,HEPG2-08,374
882,575,1010,714,1072,HEPG2-08,54
359,870,291,859,1021,HEPG2-08,758
553,321,270,697,519,HEPG2-08,318
598,988,264,799,515,HEPG2-08,1109
748,1055,519,213,264,HEPG2-08,476
979,502,568,748,184,HEPG2-08,288
1072,153,218,619,794,HEPG2-08,1072
575,748,22,544,419,HEPG2-08,1116
515,633,1012,305,957,HEPG2-08,1001
264,333,423,748,519,HEPG2-08,509
856,419,396,236,434,HEPG2-08,223
898,1047,1003,930,973,HEPG2-08,1135
330,601,1023,1030,23,HEPG2-08,980
748,799,544,421,598,HEPG2-08,1038
1021,206,287,95,149,HEPG2-08,780
1089,138,85,189,2,HEPG2-08,1128
346,950,619,792,1094,HEPG2-08,1094
1021,206,287,236,95,HEPG2-08,0
519,724,957,791,748,HEPG2-08,280
973,898,638,1003,1047,HEPG2-08,1117
519,748,957,1058,423,HEPG2-08,199
575,830,307,976,825,HEPG2-08,843
901,1023,368,94,618,HEPG2-08,1130
485,850,425,610,492,HEPG2-08,850
882,264,714,1007,333,HEPG2-08,1107
1010,748,264,207,601,HEPG2-08,243
882,575,419,1072,1010,HEPG2-08,14
922,1040,513,443,375,HEPG2-08,518
748,799,22,519,1010,HEPG2-08,358
1047,1048,44,1003,898,HEPG2-08,839
1007,333,264,988,882,HEPG2-08,1097
350,925,75,1120,204,HEPG2-08,925
519,22,937,1077,560,HEPG2-08,107
882,714,575,1072,264,HEPG2-08,612
748,568,184,423,823,HEPG2-08,31
575,419,882,748,22,HEPG2-08,227
519,748,957,568,326,HEPG2-08,200
485,553,207,678,321,HEPG2-08,1050
748,957,519,423,799,HEPG2-08,416
275,1107,419,194,1055,HEPG2-08,568
803,850,251,110,1014,HEPG2-08,251
882,575,419,1010,370,HEPG2-08,128
601,575,882,370,419,HEPG2-08,143
207,678,388,619,872,HEPG2-08,498
1007,447,598,1010,988,HEPG2-08,201
724,711,303,201,957,HEPG2-08,73
882,1072,575,419,447,HEPG2-08,882
322,553,901,991,574,HEPG2-08,1121
519,874,264,515,207,HEPG2-08,1075
61,408,922,416,441,HEPG2-08,931
957,515,844,633,421,HEPG2-08,427
419,1072,930,1047,218,HEPG2-08,1123
575,882,419,856,396,HEPG2-08,18
748,823,184,1038,598,HEPG2-08,862
575,651,396,419,882,HEPG2-08,30
575,419,882,1072,986,HEPG2-08,1110
714,748,823,423,882,HEPG2-08,137
575,419,228,153,1055,HEPG2-08,106
714,823,748,1081,799,HEPG2-08,50
1010,207,218,1014,333,HEPG2-08,1131
519,748,957,714,423,HEPG2-08,997
957,519,303,823,724,HEPG2-08,728
447,1007,882,1072,1010,HEPG2-08,885
1055,294,1107,264,748,HEPG2-08,1122
1047,419,898,1072,930,HEPG2-08,1026
749,620,410,976,190,HEPG2-08,161
1080,693,640,41,553,HEPG2-08,1134
419,1072,1010,726,1047,HEPG2-08,794
483,619,598,394,93,HEPG2-08,841
748,423,714,957,1081,HEPG2-08,1037
874,553,207,880,128,HEPG2-08,906
1,112,134,844,791,HEPG2-08,596
662,748,1098,273,243,HEPG2-08,470
408,375,968,748,774,HEPG2-08,832
922,275,294,572,131,HEPG2-08,16
1003,591,1047,2,524,HEPG2-08,675
264,333,748,423,988,HEPG2-08,1045
748,957,519,423,264,HEPG2-08,176
269,305,108,1,186,HEPG2-08,354
748,519,22,321,419,HEPG2-08,451
987,571,965,634,29,HEPG2-08,1011
204,483,75,350,447,HEPG2-08,899
882,264,988,423,714,HEPG2-08,1073
553,321,880,207,159,HEPG2-08,785
419,1072,1109,1047,930,HEPG2-08,668
326,957,979,343,41,HEPG2-08,343
1,538,791,903,134,HEPG2-08,641
396,843,856,779,446,HEPG2-08,589
815,122,13,90,792,HEPG2-08,13
882,419,575,1010,856,HEPG2-08,1055
882,575,1072,714,1010,HEPG2-08,773
326,823,502,201,979,HEPG2-08,1119
882,1010,988,575,264,HEPG2-08,561
957,823,748,519,423,HEPG2-08,711
591,289,1003,587,52,HEPG2-08,591
1007,598,447,421,714,HEPG2-08,1118
264,333,988,423,748,HEPG2-08,1010
201,41,1062,1001,186,HEPG2-08,656
799,714,447,748,882,HEPG2-08,1004
333,264,748,218,1010,HEPG2-08,1126
955,553,785,802,280,HEPG2-08,949
41,553,321,880,245,HEPG2-08,403
598,423,447,799,421,HEPG2-08,823
1,483,633,619,515,HEPG2-08,1115
553,321,678,1025,425,HEPG2-08,406
988,598,264,333,423,HEPG2-08,526
204,224,111,483,792,HEPG2-08,82
419,126,153,1047,434,HEPG2-08,1129
1010,930,988,419,726,HEPG2-08,187
598,988,264,333,423,HEPG2-08,772
633,844,134,1,515,HEPG2-08,1112
619,483,346,204,1030,HEPG2-08,235
419,1072,882,1047,434,HEPG2-08,1048
604,870,930,1048,236,HEPG2-08,540
419,575,396,22,748,HEPG2-08,240
303,724,201,343,844,HEPG2-08,323
350,269,925,305,134,HEPG2-08,1022
207,339,678,553,1025,HEPG2-08,1054
294,1055,264,419,370,HEPG2-08,378
571,154,956,856,651,HEPG2-08,812
22,748,544,749,620,HEPG2-08,71
601,575,370,882,294,HEPG2-08,426
447,882,714,1072,1007,HEPG2-08,419
264,333,748,519,988,HEPG2-08,23
519,419,22,726,370,HEPG2-08,854
678,964,1002,1025,776,HEPG2-08,524
1010,519,22,748,447,HEPG2-08,1061
1031,1120,803,1014,350,HEPG2-08,663
1092,18,559,1029,291,HEPG2-08,953
143,1000,446,219,138,HEPG2-08,767
572,922,639,126,419,HEPG2-08,116
1030,394,930,1088,1010,HEPG2-08,85
1047,434,898,315,1003,HEPG2-08,247
882,575,419,370,1010,HEPG2-08,458
792,224,483,1069,346,HEPG2-08,720
803,1014,110,224,492,HEPG2-08,792
726,1010,419,930,1047,HEPG2-08,964
598,1007,447,421,799,HEPG2-08,220
519,1055,264,748,213,HEPG2-08,440
957,823,1081,748,844,HEPG2-08,1103
110,483,447,217,111,HEPG2-08,110
519,748,1055,264,601,HEPG2-08,822
129,312,75,803,428,HEPG2-08,522
774,243,748,499,63,HEPG2-08,574
726,792,538,903,930,HEPG2-08,778
748,264,423,519,1058,HEPG2-08,316
844,748,957,1,633,HEPG2-08,69
882,447,1010,714,1072,HEPG2-08,103
748,799,154,714,651,HEPG2-08,36
447,882,714,799,1010,HEPG2-08,799
882,519,575,1055,213,HEPG2-08,474
1021,803,780,792,236,HEPG2-08,621
44,126,891,425,922,HEPG2-08,441
1010,748,22,538,930,HEPG2-08,208
821,753,1072,499,153,HEPG2-08,156
575,307,396,606,825,HEPG2-08,433
303,326,823,343,724,HEPG2-08,1095
575,419,856,882,651,HEPG2-08,1125
519,748,22,264,270,HEPG2-08,985
396,419,726,446,575,HEPG2-08,328
322,711,748,201,343,HEPG2-08,472
882,264,1007,419,1055,HEPG2-08,1136
823,714,1081,519,882,HEPG2-08,304
553,321,323,131,270,HEPG2-08,67
799,748,930,1010,419,HEPG2-08,930
748,1024,519,22,1055,HEPG2-08,1111
792,856,1021,434,236,HEPG2-08,610
483,803,394,619,224,HEPG2-08,306
870,826,712,538,726,HEPG2-08,712
447,1010,882,799,714,HEPG2-08,1114
519,22,1055,748,724,HEPG2-08,45
419,575,882,856,241,HEPG2-08,141
749,538,22,724,56,HEPG2-08,971
407,419,52,855,1026,HEPG2-08,1132
957,844,991,581,1,HEPG2-08,935
963,856,1092,859,698,HEPG2-08,150
1010,519,748,22,538,HEPG2-08,1127
519,1010,748,264,333,HEPG2-08,321
1090,455,499,821,51,HEPG2-08,488
844,724,957,41,343,HEPG2-08,367
748,519,1055,22,213,HEPG2-08,645
204,134,447,981,421,HEPG2-08,1069
748,519,264,321,270,HEPG2-08,12
519,264,988,581,213,HEPG2-08,260
447,1010,882,714,1072,HEPG2-08,9
726,419,1072,1048,153,HEPG2-08,292
882,714,1010,447,575,HEPG2-08,924
269,305,172,134,925,HEPG2-08,609
748,774,823,979,343,HEPG2-08,835
870,236,149,359,293,HEPG2-08,814
598,930,799,792,421,HEPG2-08,846
321,553,218,922,1098,HEPG2-08,693
407,1011,496,36,758,HEPG2-08,948
312,129,827,925,169,HEPG2-08,696
930,870,712,1010,749,HEPG2-08,973
419,1010,856,22,544,HEPG2-08,298
748,264,519,988,423,HEPG2-08,756
712,604,1010,930,870,HEPG2-08,634
749,22,726,748,419,HEPG2-08,68
321,544,601,553,697,HEPG2-08,929
264,333,748,423,988,HEPG2-08,264
598,455,499,1090,93,HEPG2-08,534
350,1120,925,269,305,HEPG2-08,833
874,128,880,803,1014,HEPG2-08,531
138,1003,149,2,591,HEPG2-08,325
419,911,1004,1109,407,HEPG2-08,152
726,601,692,1010,419,HEPG2-08,680
519,748,957,423,1058,HEPG2-08,993
1010,882,519,988,264,HEPG2-08,386
1055,521,568,1107,502,HEPG2-08,1005
421,1081,111,759,748,HEPG2-08,979
519,726,419,1010,264,HEPG2-08,356
870,841,633,899,1069,HEPG2-08,1021
350,925,269,1022,1120,HEPG2-08,880
1021,792,803,898,930,HEPG2-08,631
748,544,930,22,1010,HEPG2-08,455
957,1081,748,423,1058,HEPG2-08,746
519,264,748,988,957,HEPG2-08,519
726,792,419,749,396,HEPG2-08,688
930,1047,963,236,335,HEPG2-08,904
792,1021,930,538,346,HEPG2-08,741
870,792,604,930,712,HEPG2-08,226
1007,447,421,598,1109,HEPG2-08,1138
184,748,1037,1038,568,HEPG2-08,55
748,1055,568,1107,911,HEPG2-08,400
1055,1107,572,521,131,HEPG2-08,177
382,329,41,322,344,HEPG2-08,26
333,447,204,1010,874,HEPG2-08,172
598,1007,447,421,333,HEPG2-08,89
662,139,1069,633,421,HEPG2-08,538
408,967,553,322,321,HEPG2-08,624
1107,1055,714,748,882,HEPG2-08,281
218,619,264,483,1010,HEPG2-08,366
1055,213,748,601,264,HEPG2-08,987
619,218,898,483,394,HEPG2-08,1039
1072,882,419,575,1010,HEPG2-08,572
882,714,447,1010,264,HEPG2-08,459
1074,524,271,898,563,HEPG2-08,296
748,264,988,333,519,HEPG2-08,705
396,726,604,236,434,HEPG2-08,921
264,748,598,499,218,HEPG2-08,489
748,423,264,184,499,HEPG2-08,222
1,207,135,553,678,HEPG2-08,1025
882,1072,575,419,714,HEPG2-08,91
748,956,1107,714,241,HEPG2-08,389
423,748,515,874,957,HEPG2-08,1124
930,218,598,1010,748,HEPG2-08,266
1072,218,9,264,898,HEPG2-08,689
